software_id,software_name,num_groups,group_list
S0154,Cobalt Strike,24,G0016; G0027; G0037; G0045; G0046; G0050; G0052; G0065; G0067; G0073; G0079; G0080; G0092; G0096; G0102; G0114; G0119; G0129; G0143; G1006; G1014; G1020; G1021; G1022
S0012,PoisonIvy,14,G0001; G0002; G0006; G0011; G0017; G0018; G0021; G0045; G0066; G0081; G0093; G0129; G0136; G1023
S0013,PlugX,13,G0001; G0017; G0022; G0027; G0044; G0045; G0062; G0093; G0096; G0126; G0129; G1014; G1021
S0032,gh0st RAT,10,G0001; G0011; G0026; G0027; G0062; G0065; G0096; G0126; G0138; G1023
S0020,China Chopper,8,G0027; G0065; G0093; G0096; G0117; G0125; G0135; G1022
S0385,njRAT,7,G0043; G0078; G0096; G0134; G0140; G0143; G1018
S0596,ShadowPad,5,G0060; G0081; G0096; G0131; G1006
S0021,Derusbi,4,G0001; G0009; G0065; G0096
S0073,ASPXSpy,4,G0027; G0087; G0096; G0125
S0336,NanoCore,4,G0043; G0064; G0078; G0083
S0198,NETWIRE,4,G0064; G0083; G0089; G1018
S0412,ZxShell,3,G0001; G0027; G0096
S0069,BLACKCOFFEE,3,G0025; G0065; G0096
S0284,More_eggs,3,G0037; G0080; G0120
S0334,DarkComet,3,G0082; G0083; G0134
S0670,WarzoneRAT,3,G0142; G1015; G1018
S0203,Hydraq,2,G0001; G0066
S0030,Carbanak,2,G0008; G0046
S0070,HTTPBrowser,2,G0026; G0027
S0664,Pandora,2,G0027; G1021
S0662,RCSession,2,G0027; G0129
S0593,ECCENTRICBANDWAGON,2,G0032; G0082
S0376,HOPLIGHT,2,G0032; G0082
S0607,KillDisk,2,G0034; G0082
S0381,FlawedAmmyy,2,G0037; G0092
S0632,GrimAgent,2,G0037; G0102
S0449,Maze,2,G0037; G0046
S0446,Ryuk,2,G0037; G0102
S0129,AutoIt backdoor,2,G0040; G0064
S1097,HUI Loader,2,G0045; G1021
S0496,REvil,2,G0046; G0115
S0331,Agent Tesla,2,G0083; G1018
S0379,Revenge RAT,2,G0089; G1018
S0384,Dridex,2,G0092; G0119
S0266,TrickBot,2,G0092; G0102
S0430,Winnti for Linux,2,G0096; G1006
S0534,Bazar,2,G0102; G1011
